,Location,Indicator,Value,SurveyYearLabel,ind1,periode,sex,year,indicateur
527,Centre,"Median age at first sexual intercourse [Men]: 25-49(54,59)",15.9,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
528,South,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.1,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
529,Grande-Anse/Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.4,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
530,Grande-Anse,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.4,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
531,Nippes,"Median age at first sexual intercourse [Men]: 25-49(54,59)",17.5,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
532,North-West,"Median age at first sexual intercourse [Men]: 25-49(54,59)",16.4,2005-06,Median age at first sexual intercourse [Men]," 25-49(54,59)",Men,2005,Median age at first sexual intercourse 
533,Metropolitan area,Recent sexual activity: Active in last 4 weeks,42.6,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
534,Rest of West,Recent sexual activity: Active in last 4 weeks,47.4,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
535,South-East,Recent sexual activity: Active in last 4 weeks,49.4,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
536,North,Recent sexual activity: Active in last 4 weeks,43.3,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
537,North-East,Recent sexual activity: Active in last 4 weeks,45.5,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
538,Artibonite,Recent sexual activity: Active in last 4 weeks,49.8,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
539,Centre,Recent sexual activity: Active in last 4 weeks,52.6,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
540,South,Recent sexual activity: Active in last 4 weeks,44.5,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
541,Grande-Anse/Nippes,Recent sexual activity: Active in last 4 weeks,45.5,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
542,Grande-Anse,Recent sexual activity: Active in last 4 weeks,43.7,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
543,Nippes,Recent sexual activity: Active in last 4 weeks,48.4,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
544,North-West,Recent sexual activity: Active in last 4 weeks,44.1,2005-06,Recent sexual activity, Active in last 4 weeks,,2005,Recent sexual activity
545,Metropolitan area,Recent sexual activity [Women]: Within the last year,22.6,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
546,Rest of West,Recent sexual activity [Women]: Within the last year,23.5,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
547,South-East,Recent sexual activity [Women]: Within the last year,19.8,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
548,North,Recent sexual activity [Women]: Within the last year,26.0,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
549,North-East,Recent sexual activity [Women]: Within the last year,21.0,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
550,Artibonite,Recent sexual activity [Women]: Within the last year,22.9,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
551,Centre,Recent sexual activity [Women]: Within the last year,16.4,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
552,South,Recent sexual activity [Women]: Within the last year,20.2,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
553,Grande-Anse/Nippes,Recent sexual activity [Women]: Within the last year,25.4,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
554,Grande-Anse,Recent sexual activity [Women]: Within the last year,27.2,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
555,Nippes,Recent sexual activity [Women]: Within the last year,22.6,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
556,North-West,Recent sexual activity [Women]: Within the last year,21.7,2005-06,Recent sexual activity [Women], Within the last year,Women,2005,Recent sexual activity 
557,Metropolitan area,Recent sexual activity [Women]: One or more years ago,14.5,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
558,Rest of West,Recent sexual activity [Women]: One or more years ago,12.2,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
559,South-East,Recent sexual activity [Women]: One or more years ago,7.3,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
560,North,Recent sexual activity [Women]: One or more years ago,11.4,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
561,North-East,Recent sexual activity [Women]: One or more years ago,10.3,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
562,Artibonite,Recent sexual activity [Women]: One or more years ago,10.4,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
563,Centre,Recent sexual activity [Women]: One or more years ago,6.9,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
564,South,Recent sexual activity [Women]: One or more years ago,12.1,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
565,Grande-Anse/Nippes,Recent sexual activity [Women]: One or more years ago,9.6,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
566,Grande-Anse,Recent sexual activity [Women]: One or more years ago,9.4,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
567,Nippes,Recent sexual activity [Women]: One or more years ago,9.8,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
568,North-West,Recent sexual activity [Women]: One or more years ago,13.5,2005-06,Recent sexual activity [Women], One or more years ago,Women,2005,Recent sexual activity 
569,Metropolitan area,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
570,Rest of West,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
571,South-East,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
572,North,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
573,North-East,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
574,Artibonite,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
575,Centre,Recent sexual activity [Women]: Missing,0.1,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
576,South,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
577,Grande-Anse/Nippes,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
578,Grande-Anse,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
579,Nippes,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
580,North-West,Recent sexual activity [Women]: Missing,0.0,2005-06,Recent sexual activity [Women], Missing,Women,2005,Recent sexual activity 
581,Metropolitan area,Recent sexual activity: Never had sex,20.2,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
582,Rest of West,Recent sexual activity: Never had sex,17.0,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
583,South-East,Recent sexual activity: Never had sex,23.5,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
584,North,Recent sexual activity: Never had sex,19.3,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
585,North-East,Recent sexual activity: Never had sex,23.2,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
586,Artibonite,Recent sexual activity: Never had sex,17.0,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
587,Centre,Recent sexual activity: Never had sex,24.0,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
588,South,Recent sexual activity: Never had sex,23.3,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
589,Grande-Anse/Nippes,Recent sexual activity: Never had sex,19.5,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
590,Grande-Anse,Recent sexual activity: Never had sex,19.7,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
591,Nippes,Recent sexual activity: Never had sex,19.1,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
592,North-West,Recent sexual activity: Never had sex,20.7,2005-06,Recent sexual activity, Never had sex,,2005,Recent sexual activity
593,Metropolitan area,Women: Total,100.0,2005-06,Women, Total,,2005,Women
594,Rest of West,Women: Total,100.0,2005-06,Women, Total,,2005,Women
595,South-East,Women: Total,100.0,2005-06,Women, Total,,2005,Women
596,North,Women: Total,100.0,2005-06,Women, Total,,2005,Women
597,North-East,Women: Total,100.0,2005-06,Women, Total,,2005,Women
598,Artibonite,Women: Total,100.0,2005-06,Women, Total,,2005,Women
599,Centre,Women: Total,100.0,2005-06,Women, Total,,2005,Women
600,South,Women: Total,100.0,2005-06,Women, Total,,2005,Women
601,Grande-Anse/Nippes,Women: Total,100.0,2005-06,Women, Total,,2005,Women
602,Grande-Anse,Women: Total,100.0,2005-06,Women, Total,,2005,Women
603,Nippes,Women: Total,100.0,2005-06,Women, Total,,2005,Women
604,North-West,Women: Total,100.0,2005-06,Women, Total,,2005,Women
605,Metropolitan area,Number of women,2773.0,2005-06,Number of women,,,2005,Number of women
606,Rest of West,Number of women,1808.0,2005-06,Number of women,,,2005,Number of women
607,South-East,Number of women,487.0,2005-06,Number of women,,,2005,Number of women
608,North,Number of women,1036.0,2005-06,Number of women,,,2005,Number of women
609,North-East,Number of women,339.0,2005-06,Number of women,,,2005,Number of women
610,Artibonite,Number of women,1654.0,2005-06,Number of women,,,2005,Number of women
611,Centre,Number of women,811.0,2005-06,Number of women,,,2005,Number of women
612,South,Number of women,669.0,2005-06,Number of women,,,2005,Number of women
613,Grande-Anse/Nippes,Number of women,588.0,2005-06,Number of women,,,2005,Number of women
614,Grande-Anse,Number of women,355.0,2005-06,Number of women,,,2005,Number of women
615,Nippes,Number of women,232.0,2005-06,Number of women,,,2005,Number of women
616,North-West,Number of women,593.0,2005-06,Number of women,,,2005,Number of women
617,Metropolitan area,Number of women (unweighted),1810.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
618,Rest of West,Number of women (unweighted),1014.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
619,South-East,Number of women (unweighted),783.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
620,North,Number of women (unweighted),1033.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
621,North-East,Number of women (unweighted),918.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
622,Artibonite,Number of women (unweighted),939.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
623,Centre,Number of women (unweighted),866.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
624,South,Number of women (unweighted),861.0,2005-06,Number of women (unweighted),,,2005,Number of women (unweighted)
